"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R21","TANTALUM_KEMET_C","97.0513mm","62.0268mm","96.302mm","62.0268mm","96.302mm","62.0268mm","B","360.00","2K7"
"SW19","key4p","11.3875mm","9.5116mm","11.3875mm","9.5116mm","9.1375mm","5.5116mm","T","90.00","tactile key"
"R42","TANTALUM_KEMET_C","76.6297mm","61.8236mm","77.379mm","61.8236mm","77.379mm","61.8236mm","B","180.00","18K"
"C4","TANTALUM_KEMET_C","86.4108mm","34.6837mm","86.4108mm","33.9344mm","86.4108mm","33.9344mm","B","90.00","10uF"
"R24","TANTALUM_KEMET_C","79.4872mm","65.1637mm","79.4872mm","64.4144mm","79.4872mm","64.4144mm","B","90.00","150R"
"R25","TANTALUM_KEMET_C","81.57mm","65.1637mm","81.57mm","64.4144mm","81.57mm","64.4144mm","B","90.00","150R"
"R26","TANTALUM_KEMET_C","83.5258mm","65.1637mm","83.5258mm","64.4144mm","83.5258mm","64.4144mm","B","90.00","150R"
"R18","TANTALUM_KEMET_C","93.8636mm","65.1637mm","93.8636mm","64.4144mm","93.8636mm","64.4144mm","B","90.00","2K7"
"C2","TANTALUM_KEMET_C","91.8824mm","65.1637mm","91.8824mm","64.4144mm","91.8824mm","64.4144mm","B","90.00","100nF"
"R3","TANTALUM_KEMET_C","89.5964mm","65.1637mm","89.5964mm","64.4144mm","89.5964mm","64.4144mm","B","90.00","82R"
"R2","TANTALUM_KEMET_C","87.6406mm","65.1637mm","87.6406mm","64.4144mm","87.6406mm","64.4144mm","B","90.00","82R"
"R1","TANTALUM_KEMET_C","85.6848mm","65.1637mm","85.6848mm","64.4144mm","85.6848mm","64.4144mm","B","90.00","82R"
"R19","TANTALUM_KEMET_C","95.8702mm","65.1637mm","95.8702mm","64.4144mm","95.8702mm","64.4144mm","B","90.00","2K7"
"R23","TANTALUM_KEMET_C","77.5568mm","65.1637mm","77.5568mm","64.4144mm","77.5568mm","64.4144mm","B","90.00","150R"
"R33","TANTALUM_KEMET_C","78.1156mm","78.2193mm","78.1156mm","77.47mm","78.1156mm","77.47mm","B","90.00","18K"
"R40","TANTALUM_KEMET_C","96.429mm","78.2193mm","96.429mm","77.47mm","96.429mm","77.47mm","B","90.00","18K"
"R27","TANTALUM_KEMET_C","86.2944mm","78.2193mm","86.2944mm","77.47mm","86.2944mm","77.47mm","B","90.00","150R"
"R37","TANTALUM_KEMET_C","88.2756mm","78.2193mm","88.2756mm","77.47mm","88.2756mm","77.47mm","B","90.00","18K"
"R38","TANTALUM_KEMET_C","90.4854mm","78.2193mm","90.4854mm","77.47mm","90.4854mm","77.47mm","B","90.00","18K"
"R28","TANTALUM_KEMET_C","92.4666mm","78.2193mm","92.4666mm","77.47mm","92.4666mm","77.47mm","B","90.00","150R"
"R39","TANTALUM_KEMET_C","94.4478mm","78.2193mm","94.4478mm","77.47mm","94.4478mm","77.47mm","B","90.00","18K"
"R36","TANTALUM_KEMET_C","84.3132mm","78.2193mm","84.3132mm","77.47mm","84.3132mm","77.47mm","B","90.00","18K"
"R35","TANTALUM_KEMET_C","82.1796mm","78.2193mm","82.1796mm","77.47mm","82.1796mm","77.47mm","B","90.00","18K"
"R34","TANTALUM_KEMET_C","80.046mm","78.2193mm","80.046mm","77.47mm","80.046mm","77.47mm","B","90.00","18K"
"LR 151","LED0603","126.0856mm","50.673mm","126.0856mm","50.673mm","125.0442mm","50.673mm","T","360.00",""
"R4","TANTALUM_KEMET_C","97.0513mm","60.0964mm","96.302mm","60.0964mm","96.302mm","60.0964mm","B","360.00","82R"
"R5","TANTALUM_KEMET_C","97.0513mm","58.1152mm","96.302mm","58.1152mm","96.302mm","58.1152mm","B","360.00","82R"
"R6","TANTALUM_KEMET_C","97.0513mm","56.134mm","96.302mm","56.134mm","96.302mm","56.134mm","B","360.00","82R"
"C3","TANTALUM_KEMET_C","97.0513mm","53.975mm","96.302mm","53.975mm","96.302mm","53.975mm","B","360.00","100nF"
"R10","TANTALUM_KEMET_C","97.0513mm","45.593mm","96.302mm","45.593mm","96.302mm","45.593mm","B","360.00","82R"
"R9","TANTALUM_KEMET_C","97.0513mm","47.625mm","96.302mm","47.625mm","96.302mm","47.625mm","B","360.00","82R"
"R30","TANTALUM_KEMET_C","97.0513mm","49.8094mm","96.302mm","49.8094mm","96.302mm","49.8094mm","B","360.00","150R"
"R29","TANTALUM_KEMET_C","97.0513mm","51.943mm","96.302mm","51.943mm","96.302mm","51.943mm","B","360.00","150R"
"R7","TANTALUM_KEMET_C","94.1176mm","44.7167mm","94.1176mm","45.466mm","94.1176mm","45.466mm","B","270.00","82R"
"R8","TANTALUM_KEMET_C","92.1364mm","44.7167mm","92.1364mm","45.466mm","92.1364mm","45.466mm","B","270.00","82R"
"R17","TANTALUM_KEMET_C","90.1552mm","44.7167mm","90.1552mm","45.466mm","90.1552mm","45.466mm","B","270.00","82R"
"R20","TANTALUM_KEMET_C","88.174mm","44.7167mm","88.174mm","45.466mm","88.174mm","45.466mm","B","270.00","2K7"
"R13","TANTALUM_KEMET_C","79.7666mm","44.7167mm","79.7666mm","45.466mm","79.7666mm","45.466mm","B","270.00","82R"
"R12","TANTALUM_KEMET_C","81.824mm","44.7167mm","81.824mm","45.466mm","81.824mm","45.466mm","B","270.00","82R"
"R11","TANTALUM_KEMET_C","83.8814mm","44.7167mm","83.8814mm","45.466mm","83.8814mm","45.466mm","B","270.00","82R"
"C5","TANTALUM_KEMET_C","85.9388mm","44.7167mm","85.9388mm","45.466mm","85.9388mm","45.466mm","B","270.00","10uF"
"R22","TANTALUM_KEMET_C","76.6297mm","53.9242mm","77.379mm","53.9242mm","77.379mm","53.9242mm","B","180.00","2K7"
"R31","TANTALUM_KEMET_C","76.6297mm","56.0324mm","77.379mm","56.0324mm","77.379mm","56.0324mm","B","180.00","150R"
"R41","TANTALUM_KEMET_C","76.6297mm","57.9628mm","77.379mm","57.9628mm","77.379mm","57.9628mm","B","180.00","18K"
